"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1f63f3596f698f91454a76753a670880","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Selenomonas",NA
"82ddd4c06c80f04fb3512a37d7fc8af2","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Selenomonas",NA
"24a95a760777827dd97e807288a5b9e6","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Dialister",NA
"a19de11cf09567ac5ecd379f1d791358","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Dialister",NA
"9bb4be6442aac0de535b3f6fe75796b7","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Veillonella",NA
"72046af139212dd9b46090cfa5c42c37","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Veillonella",NA
"72666ed8aa021e3cd17a56bb9136dfcb","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Veillonella","parvula"
"ba5050f0a134299afce343c3934a44fa","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Veillonella","dispar"
"7bf27a4d7e41d8c07f2366bb9e60198d","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Veillonella","dispar"
"d2ddeddfb3d6f8e1afbca11bca252132","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Veillonella","dispar"
"e10df57b0b805352d72fb55b33955027","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Veillonella","dispar"
"456750319451203e4309f9e8a4405ac0","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Veillonella","dispar"
"fc7612e2277c5c9b1a0947c41b870074","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Veillonella","dispar"
"9bdd52692fc975aae7e533b2c162501a","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Veillonella","dispar"
